,title,authors,url,citations,abstract
10,Building a resilient cybersecurity workforce: A multidisciplinary solution to the problem of high turnover of cybersecurity analysts,"B Adetoye, RC Fong - Cybersecurity in the Age of Smart Societies …, 2023 - Springer",https://link.springer.com/chapter/10.1007/978-3-031-20160-8_5,"[{'title': 'MLA', 'content': 'Adetoye, Babatunde, and Rose Cheuk-wai Fong. ""Building a resilient cybersecurity workforce: A multidisciplinary solution to the problem of high turnover of cybersecurity analysts.""Cybersecurity in the Age of Smart Societies: Proceedings of the 14th International Conference on Global Security, Safety and Sustainability, London, September 2022. Cham: Springer International Publishing, 2023.'}, {'title': 'APA', 'content': 'Adetoye, B., & Fong, R. C. W. (2023, January). Building a resilient cybersecurity workforce: A multidisciplinary solution to the problem of high turnover of cybersecurity analysts. InCybersecurity in the Age of Smart Societies: Proceedings of the 14th International Conference on Global Security, Safety and Sustainability, London, September 2022(pp. 61-87). Cham: Springer International Publishing.'}, {'title': 'ISO 690', 'content': 'ADETOYE, Babatunde; FONG, Rose Cheuk-wai. Building a resilient cybersecurity workforce: A multidisciplinary solution to the problem of high turnover of cybersecurity analysts. In:Cybersecurity in the Age of Smart Societies: Proceedings of the 14th International Conference on Global Security, Safety and Sustainability, London, September 2022. Cham: Springer International Publishing, 2023. p. 61-87.'}]","… While the skills gap in cybersecurity has been so widely discussed as a persistent problem 
… Evidence revealed that this is common among IT professionals, including cybersecurity …"
11,Integrating certifications into the cybersecurity college curriculum: The efficacy of education with certifications to increase the cybersecurity workforce,"B Tran, KC Benson, L Jonassen - … of Cybersecurity …, 2023 - digitalcommons.kennesaw.edu",https://digitalcommons.kennesaw.edu/jcerp/vol2023/iss2/2/,"[{'title': 'MLA', 'content': 'Tran, Binh, Karen C. Benson, and Lorraine Jonassen. ""Integrating certifications into the cybersecurity college curriculum: The efficacy of education with certifications to increase the cybersecurity workforce.""Journal of Cybersecurity Education, Research and Practice2023.2 (2023): 2.'}, {'title': 'APA', 'content': 'Tran, B., Benson, K. C., & Jonassen, L. (2023). Integrating certifications into the cybersecurity college curriculum: The efficacy of education with certifications to increase the cybersecurity workforce.Journal of Cybersecurity Education, Research and Practice,2023(2), 2.'}, {'title': 'Chicago', 'content': 'Tran, Binh, Karen C. Benson, and Lorraine Jonassen. ""Integrating certifications into the cybersecurity college curriculum: The efficacy of education with certifications to increase the cybersecurity workforce.""Journal of Cybersecurity Education, Research and Practice2023, no. 2 (2023): 2.'}, {'title': 'Harvard', 'content': 'Tran, B., Benson, K.C. and Jonassen, L., 2023. Integrating certifications into the cybersecurity college curriculum: The efficacy of education with certifications to increase the cybersecurity workforce.Journal of Cybersecurity Education, Research and Practice,2023(2), p.2.'}, {'title': 'Vancouver', 'content': 'Tran B, Benson KC, Jonassen L. Integrating certifications into the cybersecurity college curriculum: The efficacy of education with certifications to increase the cybersecurity workforce. Journal of Cybersecurity Education, Research and Practice. 2023;2023(2):2.'}]","… The future requires IT professionals to evolve with the volatility of the cybersecurity threat 
landscape. As educators, we must … The skills gap has doubled with a 3.5 million shortage of …"
12,Addressing the Need for Interculturality in Cybersecurity Education,"S Swartz, D Nayak - Journal of The Colloquium for Information Systems …, 2024 - cisse.info",https://cisse.info/journal/index.php/cisse/article/view/176,"[{'title': 'MLA', 'content': 'Swartz, Stephanie, and Deveeshree Nayak. ""Addressing the Need for Interculturality in Cybersecurity Education.""Journal of The Colloquium for Information Systems Security Education. Vol. 11. No. 1. 2024.'}, {'title': 'NBR 6023', 'content': 'SWARTZ, Stephanie; NAYAK, Deveeshree. Addressing the Need for Interculturality in Cybersecurity Education. In:Journal of The Colloquium for Information Systems Security Education. 2024. p. 5-5.'}, {'title': 'APA', 'content': 'Swartz, S., & Nayak, D. (2024, February). Addressing the Need for Interculturality in Cybersecurity Education. InJournal of The Colloquium for Information Systems Security Education(Vol. 11, No. 1, pp. 5-5).'}]","… cybersecurity workforce in the United States by establishing standardized roles that can 
effectively address the skills gap in the field of cybersecurity… computer savvy IT professionals with …"
13,Understanding the Supports and Skills That Enable Successful Pathways for Black Learners and Workers into Non-Four-Year Degree Technology Careers: A …,"B Carter, Z Shah, B Tinsley, J LeGrand-Dunn… - Digital Promise, 2023 - ERIC",https://eric.ed.gov/?id=ED629966,"[{'title': 'MLA', 'content': 'Carter, Bria, et al. ""Understanding the Supports and Skills That Enable Successful Pathways for Black Learners and Workers into Non-Four-Year Degree Technology Careers: A Landscape Scan.""Digital Promise(2023).'}, {'title': 'APA', 'content': 'Carter, B., Shah, Z., Tinsley, B., LeGrand-Dunn, J., & Luke Luna, C. (2023). Understanding the Supports and Skills That Enable Successful Pathways for Black Learners and Workers into Non-Four-Year Degree Technology Careers: A Landscape Scan.Digital Promise.'}, {'title': 'ISO 690', 'content': 'CARTER, Bria, et al. Understanding the Supports and Skills That Enable Successful Pathways for Black Learners and Workers into Non-Four-Year Degree Technology Careers: A Landscape Scan.Digital Promise, 2023.'}]","… cybersecurity skills gap and increase diverse representation and talent within the field, it is 
imperative that cybersecurity … job satisfaction gap for Black IT professionals” who noted feeling …"
14,[HTML][HTML] Stress in the cybersecurity profession: a systematic review of related literature and opportunities for future research,"T Singh, AC Johnston, J D'Arcy… - … Cybersecurity Journal …, 2023 - emerald.com",https://www.emerald.com/insight/content/doi/10.1108/OCJ-06-2022-0012/full/html,"[{'title': 'APA', 'content': ""Singh, T., Johnston, A. C., D'Arcy, J., & Harms, P. D. (2023). Stress in the cybersecurity profession: a systematic review of related literature and opportunities for future research.Organizational Cybersecurity Journal: Practice, Process and People,3(2), 100-126.""}, {'title': 'ISO 690', 'content': ""SINGH, Tripti, JOHNSTON, Allen C., D'ARCY, John,et al.Stress in the cybersecurity profession: a systematic review of related literature and opportunities for future research.Organizational Cybersecurity Journal: Practice, Process and People, 2023, vol. 3, no 2, p. 100-126.""}, {'title': 'MLA', 'content': 'Singh, Tripti, et al. ""Stress in the cybersecurity profession: a systematic review of related literature and opportunities for future research.""Organizational Cybersecurity Journal: Practice, Process and People3.2 (2023): 100-126.'}]","… cybersecurity professionals are distinct from those experienced by regular IT professionals 
… In addition, the current skills gap has been exacerbated by the difficulty in retaining qualified …"
15,[PDF][PDF] INDUSTRY 4.0 WORKFORCE: ENCYCLOPEDIA OF THE DIGITAL PROFESSIONS BY GROUPS OF TECHNOLOGICAL INNOVATION.,"B Gajdzik, H Štverková - Scientific Papers of Silesian …, 2023 - managementpapers.polsl.pl",https://managementpapers.polsl.pl/wp-content/uploads/2023/06/170-Gajdzik-Stverkova.pdf,"[{'title': 'MLA', 'content': 'Gajdzik, Bożena, and Hana Štverková. ""INDUSTRY 4.0 WORKFORCE: ENCYCLOPEDIA OF THE DIGITAL PROFESSIONS BY GROUPS OF TECHNOLOGICAL INNOVATION.""Scientific Papers of Silesian University of Technology. Organization & Management/Zeszyty Naukowe Politechniki Slaskiej. Seria Organizacji i Zarzadzanie170 (2023).'}, {'title': 'APA', 'content': 'Gajdzik, B., & Štverková, H. (2023). INDUSTRY 4.0 WORKFORCE: ENCYCLOPEDIA OF THE DIGITAL PROFESSIONS BY GROUPS OF TECHNOLOGICAL INNOVATION.Scientific Papers of Silesian University of Technology. Organization & Management/Zeszyty Naukowe Politechniki Slaskiej. Seria Organizacji i Zarzadzanie, (170).'}, {'title': 'ISO 690', 'content': 'GAJDZIK, Bożena; ŠTVERKOVÁ, Hana. INDUSTRY 4.0 WORKFORCE: ENCYCLOPEDIA OF THE DIGITAL PROFESSIONS BY GROUPS OF TECHNOLOGICAL INNOVATION.Scientific Papers of Silesian University of Technology. Organization & Management/Zeszyty Naukowe Politechniki Slaskiej. Seria Organizacji i Zarzadzanie, 2023, 170.'}]","… IT professionals are needed by companies to improve digital business and build Industry 
4.0. Digital competences take on particular importance in view of the development of digital …"
16,Mismatched Talents and Industry Needs of IT Workforce in Small and Medium Enterprises (SMEs),"WR Hardiyanti, EN Afifah… - … SEMINAR NASIONAL & …, 2023 - journal.untidar.ac.id",https://journal.untidar.ac.id/index.php/semnasfe/article/view/1324,"[{'title': 'MLA', 'content': 'Hardiyanti, Wida Reza, Evi Noor Afifah, and Muhammad Khairil Anwar. ""Mismatched Talents and Industry Needs of IT Workforce in Small and Medium Enterprises (SMEs).""Prosiding SEMINAR NASIONAL & CALL FOR PAPER Fakultas Ekonomi. Vol. 2. 2023.'}, {'title': 'APA', 'content': 'Hardiyanti, W. R., Afifah, E. N., & Anwar, M. K. (2023). Mismatched Talents and Industry Needs of IT Workforce in Small and Medium Enterprises (SMEs). InProsiding SEMINAR NASIONAL & CALL FOR PAPER Fakultas Ekonomi(Vol. 2, pp. 203-226).'}, {'title': 'ISO 690', 'content': 'HARDIYANTI, Wida Reza; AFIFAH, Evi Noor; ANWAR, Muhammad Khairil. Mismatched Talents and Industry Needs of IT Workforce in Small and Medium Enterprises (SMEs). In:Prosiding SEMINAR NASIONAL & CALL FOR PAPER Fakultas Ekonomi. 2023. S. 203-226.'}]","… marketers, and cybersecurity experts, has … IT professionals and emphasizing the existing 
workforce shortage, it can grab attention to the core problem and provide solution of IT skills gap…"
17,A systematic review of Human Aspects in Industry 4.0 and 5.0: Cybersecurity Awareness and Soft Skills,"JM Takács, M Pogatsnik - 2023 IEEE 27th International …, 2023 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/10297768/,"[{'title': 'MLA', 'content': 'Takács, Judit Mόdné, and Monika Pogatsnik. ""A systematic review of Human Aspects in Industry 4.0 and 5.0: Cybersecurity Awareness and Soft Skills.""2023 IEEE 27th International Conference on Intelligent Engineering Systems (INES). IEEE, 2023.'}, {'title': 'APA', 'content': 'Takács, J. M., & Pogatsnik, M. (2023, July). A systematic review of Human Aspects in Industry 4.0 and 5.0: Cybersecurity Awareness and Soft Skills. In2023 IEEE 27th International Conference on Intelligent Engineering Systems (INES)(pp. 000033-000040). IEEE.'}, {'title': 'ISO 690', 'content': 'TAKÁCS, Judit Mόdné; POGATSNIK, Monika. A systematic review of Human Aspects in Industry 4.0 and 5.0: Cybersecurity Awareness and Soft Skills. In:2023 IEEE 27th International Conference on Intelligent Engineering Systems (INES). IEEE, 2023. p. 000033-000040.'}]","… To address the digital and cybersecurity skills gap, the study … and cybersecurity gaps that 
will be relevant for IT professionals … required of Industry 5.0 IT professionals and engineers, but …"
18,ENHANCING CYBERSECURITY: PROTECTING DATA IN THE DIGITAL AGE,"A Isakov, F Urozov, S Abduzhapporov… - Innovations in Science …, 2024 - innoist.uz",https://innoist.uz/index.php/ist/article/view/153,"[{'title': 'MLA', 'content': 'Isakov, Abror, et al. ""ENHANCING CYBERSECURITY: PROTECTING DATA IN THE DIGITAL AGE.""Innovations in Science and Technologies1.1 (2024): 40-49.'}, {'title': 'APA', 'content': 'Isakov, A., Urozov, F., Abduzhapporov, S., & Isokova, M. (2024). ENHANCING CYBERSECURITY: PROTECTING DATA IN THE DIGITAL AGE.Innovations in Science and Technologies,1(1), 40-49.'}, {'title': 'Chicago', 'content': 'Isakov, Abror, Fakhridin Urozov, Shahboz Abduzhapporov, and Mukhlisa Isokova. ""ENHANCING CYBERSECURITY: PROTECTING DATA IN THE DIGITAL AGE.""Innovations in Science and Technologies1, no. 1 (2024): 40-49.'}, {'title': 'Harvard', 'content': 'Isakov, A., Urozov, F., Abduzhapporov, S. and Isokova, M., 2024. ENHANCING CYBERSECURITY: PROTECTING DATA IN THE DIGITAL AGE.Innovations in Science and Technologies,1(1), pp.40-49.'}, {'title': 'Vancouver', 'content': 'Isakov A, Urozov F, Abduzhapporov S, Isokova M. ENHANCING CYBERSECURITY: PROTECTING DATA IN THE DIGITAL AGE. Innovations in Science and Technologies. 2024 Mar 19;1(1):40-9.'}]","… Education and Awareness: Cybersecurity is not solely the responsibility of IT professionals. 
… Cybersecurity Skills Gap: The demand for cybersecurity professionals has outpaced the …"
19,The Impact of Cloud Hosting Solutions on IT Jobs: Winners and Losers in the Cloud Era,"AS George, S Sagayarajan, Y AlMatroudi… - Partners Universal …, 2023 - puirj.com",https://www.puirj.com/index.php/research/article/view/128,"[{'title': 'MLA', 'content': 'George, A. Shaji, et al. ""The Impact of Cloud Hosting Solutions on IT Jobs: Winners and Losers in the Cloud Era.""Partners Universal International Research Journal2.3 (2023): 1-19.'}, {'title': 'APA', 'content': 'George, A. S., Sagayarajan, S., AlMatroudi, Y., & George, A. H. (2023). The Impact of Cloud Hosting Solutions on IT Jobs: Winners and Losers in the Cloud Era.Partners Universal International Research Journal,2(3), 1-19.'}, {'title': 'ISO 690', 'content': 'GEORGE, A. Shaji, et al. The Impact of Cloud Hosting Solutions on IT Jobs: Winners and Losers in the Cloud Era.Partners Universal International Research Journal, 2023, 2.3: 1-19.'}]","… will also emerge for IT professionals with the right skills. The … Cloud cybersecurity skills 
are in huge demand to protect data and … The cloud skills gap makes hiring pre-trained talent …"
20,Echo e-Skill and training Toolkit user experiences regarding user vulnerabilities,P Rasmus - 2023 - theseus.fi,https://www.theseus.fi/handle/10024/799458,"[{'title': 'APA', 'content': 'Rasmus, P. (2023). Echo e-Skill and training Toolkit user experiences regarding user vulnerabilities.'}, {'title': 'ISO 690', 'content': 'RASMUS, Päärni. Echo e-Skill and training Toolkit user experiences regarding user vulnerabilities. 2023.'}, {'title': 'MLA', 'content': 'Rasmus, Päärni. ""Echo e-Skill and training Toolkit user experiences regarding user vulnerabilities."" (2023).'}]","… Toolkit application that provides skills gap data in the work … domain of information and 
cybersecurity. The objective during … deliberately chose academic IT-professionals as a group to …"
21,[PDF][PDF] The DevSecOps Journey: Unraveling Crucial Skillsets for Software Engineers,GD Peña - promiseinnovatech.com,https://www.promiseinnovatech.com/images/DevSecOps/DevSecOps_and_Software_Engineers_An_approach_towards_the_required_skillset.pdf,"[{'title': 'APA', 'content': 'Peña, G. D. The DevSecOps Journey: Unraveling Crucial Skillsets for Software Engineers.'}, {'title': 'ISO 690', 'content': 'PEÑA, Germán Dugarte. The DevSecOps Journey: Unraveling Crucial Skillsets for Software Engineers.'}, {'title': 'MLA', 'content': 'Peña, Germán Dugarte. ""The DevSecOps Journey: Unraveling Crucial Skillsets for Software Engineers.""'}]","… that are essential for all IT professionals, regardless of their job … , skills development, and 
skills gap analysis. The SFIA framework is … Cybersecurity: This category includes skills related to …"
